datetime,epoch,memory_used,memory_free,gpu_0_memory_used,gpu_0_memory_free,gpu_1_memory_used,gpu_1_memory_free,gpu_2_memory_used,gpu_2_memory_free,gpu_3_memory_used,gpu_3_memory_free,gpu_4_memory_used,gpu_4_memory_free,gpu_5_memory_used,gpu_5_memory_free,gpu_6_memory_used,gpu_6_memory_free,gpu_7_memory_used,gpu_7_memory_free
2022-07-29 04:25:47.036304,0,57562591232,3477061632,21963.4375,27176.5625,13714.4375,35425.5625,14080.4375,35059.5625,12614.4375,36525.5625,18828.4375,30311.5625,15928.4375,33211.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:25:49.037489,0,57563471872,3476070400,21963.4375,27176.5625,13714.4375,35425.5625,14080.4375,35059.5625,12614.4375,36525.5625,18828.4375,30311.5625,15928.4375,33211.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:25:51.040221,0,57564422144,3475374080,21963.4375,27176.5625,13714.4375,35425.5625,14080.4375,35059.5625,12614.4375,36525.5625,18828.4375,30311.5625,15928.4375,33211.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:25:53.043676,0,57563619328,3475447808,21963.4375,27176.5625,13714.4375,35425.5625,14080.4375,35059.5625,12614.4375,36525.5625,18828.4375,30311.5625,15928.4375,33211.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:25:55.046642,0,57565925376,3472875520,21963.4375,27176.5625,13714.4375,35425.5625,14080.4375,35059.5625,12614.4375,36525.5625,18828.4375,30311.5625,15928.4375,33211.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:25:57.049929,0,57567215616,3472244736,21963.4375,27176.5625,13714.4375,35425.5625,14080.4375,35059.5625,12614.4375,36525.5625,18828.4375,30311.5625,15928.4375,33211.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:25:59.053018,0,57565384704,3474042880,21963.4375,27176.5625,13714.4375,35425.5625,14080.4375,35059.5625,12614.4375,36525.5625,18828.4375,30311.5625,15928.4375,33211.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:26:01.056461,0,57566662656,3472748544,21963.4375,27176.5625,13714.4375,35425.5625,14080.4375,35059.5625,12614.4375,36525.5625,18828.4375,30311.5625,15928.4375,33211.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:26:03.059815,0,57567535104,3471671296,21963.4375,27176.5625,13714.4375,35425.5625,14080.4375,35059.5625,12614.4375,36525.5625,18828.4375,30311.5625,15928.4375,33211.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:26:05.062794,0,57565802496,3470606336,21963.4375,27176.5625,13714.4375,35425.5625,14080.4375,35059.5625,12614.4375,36525.5625,18828.4375,30311.5625,15928.4375,33211.5625,12752.4375,36387.5625,15874.4375,33265.5625
